['UID: ', ['0x4', '0xb6', '0xf6', '0xba', '0xa3', '0xf', '0x90'], 54.6, '2025-06-11 09:55:33.692529']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 55.1, '2025-06-11 09:56:30.733432']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 55.7, '2025-06-11 09:56:32.778997']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 55.1, '2025-06-11 09:56:43.603964']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 55.1, '2025-06-11 09:58:33.499750']
['UID: ', ['0x4', '0x6f', '0x2', '0xba', '0xa3', '0xf', '0x94'], 55.7, '2025-06-11 09:58:53.135890']
['UID: ', ['0x4', '0x58', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 56.2, '2025-06-11 10:00:17.512040']
['UID: ', ['0x4', '0x20', '0xa3', '0xba', '0xa3', '0xf', '0x90'], 55.7, '2025-06-11 10:01:05.004932']
['UID: ', ['0x4', '0x20', '0xa3', '0xba', '0xa3', '0xf', '0x90'], 55.7, '2025-06-11 10:01:07.050503']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 56.8, '2025-06-11 10:04:21.628576']
['UID: ', ['0x4', '0xb6', '0xf6', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-11 10:13:46.482660']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-11 10:23:44.407850']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 58.4, '2025-06-11 11:59:30.814988']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 58.4, '2025-06-11 12:20:34.514169']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 58.4, '2025-06-11 13:31:11.087484']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 58.9, '2025-06-11 13:33:00.150588']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 58.9, '2025-06-11 13:33:04.281881']
['UID: ', ['0x4', '0x58', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 58.9, '2025-06-11 13:33:11.512255']
['UID: ', ['0x4', '0x20', '0xa3', '0xba', '0xa3', '0xf', '0x90'], 58.9, '2025-06-11 13:33:19.413894']
['UID: ', ['0x4', '0x6f', '0x2', '0xba', '0xa3', '0xf', '0x94'], 59.5, '2025-06-11 13:33:25.459516']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 58.4, '2025-06-11 13:33:33.158701']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 59.5, '2025-06-11 13:55:39.104019']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 58.9, '2025-06-11 13:58:19.634702']
['UID: ', ['0x4', '0x58', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 58.4, '2025-06-11 13:58:34.299082']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 59.5, '2025-06-11 13:58:37.091230']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 58.9, '2025-06-11 13:58:50.436173']
['UID: ', ['0x4', '0x20', '0xa3', '0xba', '0xa3', '0xf', '0x90'], 58.4, '2025-06-11 13:58:54.386635']
['UID: ', ['0x4', '0x6f', '0x2', '0xba', '0xa3', '0xf', '0x94'], 59.5, '2025-06-11 13:58:57.695525']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 59.5, '2025-06-11 15:57:29.263686']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 58.4, '2025-06-11 15:57:48.299216']
['UID: ', ['0x4', '0x58', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 59.5, '2025-06-11 15:57:55.209872']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 59.5, '2025-06-11 15:57:58.856577']
['UID: ', ['0x4', '0x20', '0xa3', '0xba', '0xa3', '0xf', '0x90'], 59.5, '2025-06-11 15:58:09.054554']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 58.9, '2025-06-11 15:58:13.133432']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 59.5, '2025-06-11 15:58:18.459130']
['UID: ', ['0x4', '0x6f', '0x2', '0xba', '0xa3', '0xf', '0x94'], 58.9, '2025-06-11 15:58:26.284742']
['UID: ', ['0x4', '0xb6', '0xf6', '0xba', '0xa3', '0xf', '0x90'], 56.8, '2025-06-11 17:41:03.769424']
['UID: ', ['0x4', '0xa', '0xfe', '0xba', '0xa3', '0xf', '0x91'], 56.2, '2025-06-11 17:41:07.205774']
['UID: ', ['0x4', '0xb6', '0xf6', '0xba', '0xa3', '0xf', '0x90'], 53.0, '2025-06-12 09:23:15.231349']
['UID: ', ['0x4', '0xa', '0xfe', '0xba', '0xa3', '0xf', '0x91'], 54.1, '2025-06-12 09:23:17.521795']
['UID: ', ['0x4', '0xb6', '0xf6', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-12 09:29:44.996207']
['UID: ', ['0x4', '0xa', '0xfe', '0xba', '0xa3', '0xf', '0x91'], 57.3, '2025-06-12 09:29:47.419123']
['UID: ', ['0x4', '0xa', '0xfe', '0xba', '0xa3', '0xf', '0x91'], 57.3, '2025-06-12 09:29:50.172431']
['UID: ', ['0x4', '0xa', '0xfe', '0xba', '0xa3', '0xf', '0x91'], 57.3, '2025-06-12 09:29:52.224772']
['UID: ', ['0x4', '0xa', '0xfe', '0xba', '0xa3', '0xf', '0x91'], 57.3, '2025-06-12 09:29:54.278476']
['UID: ', ['0x4', '0xa', '0xfe', '0xba', '0xa3', '0xf', '0x91'], 57.3, '2025-06-12 09:30:04.815357']
['UID: ', ['0x4', '0xa', '0xfe', '0xba', '0xa3', '0xf', '0x91'], 56.8, '2025-06-12 09:30:06.862438']
['UID: ', ['0x4', '0xb6', '0xf6', '0xba', '0xa3', '0xf', '0x90'], 57.8, '2025-06-12 09:31:04.869455']
['UID: ', ['0x4', '0xb6', '0xf6', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-12 09:31:07.553227']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 60.0, '2025-06-12 10:29:08.997885']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 60.5, '2025-06-12 10:43:42.358105']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 60.5, '2025-06-12 10:57:23.390647']
['UID: ', ['0x4', '0x6f', '0x2', '0xba', '0xa3', '0xf', '0x94'], 60.5, '2025-06-12 10:57:31.777868']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 61.1, '2025-06-12 11:02:38.465331']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 61.1, '2025-06-12 11:07:09.350696']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 60.0, '2025-06-12 11:57:39.817771']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 60.5, '2025-06-12 12:18:37.300769']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 60.0, '2025-06-12 13:23:01.231226']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 60.0, '2025-06-12 13:23:05.578299']
['UID: ', ['0x4', '0x6f', '0x2', '0xba', '0xa3', '0xf', '0x94'], 60.0, '2025-06-12 13:23:10.277955']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 59.5, '2025-06-12 13:23:31.566857']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 60.0, '2025-06-12 13:23:45.015739']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 60.0, '2025-06-12 13:48:41.441915']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 60.0, '2025-06-12 13:49:22.111178']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 60.5, '2025-06-12 13:49:51.967840']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 60.5, '2025-06-12 13:49:54.516154']
['UID: ', ['0x4', '0x6f', '0x2', '0xba', '0xa3', '0xf', '0x94'], 60.0, '2025-06-12 13:50:17.632668']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 61.6, '2025-06-12 17:40:21.329357']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 61.6, '2025-06-12 17:40:30.928410']
['UID: ', ['0x4', '0x6f', '0x2', '0xba', '0xa3', '0xf', '0x94'], 61.6, '2025-06-12 17:40:52.001257']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 61.1, '2025-06-12 17:41:01.335826']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 60.5, '2025-06-12 17:41:09.921821']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 61.1, '2025-06-12 17:41:13.366025']
['UID: ', ['0x4', '0xb6', '0xf6', '0xba', '0xa3', '0xf', '0x90'], 61.1, '2025-06-12 17:55:46.886792']
['UID: ', ['0x4', '0xb6', '0xf6', '0xba', '0xa3', '0xf', '0x90'], 60.0, '2025-06-13 09:25:31.525805']
['UID: ', ['0x4', '0xb6', '0xf6', '0xba', '0xa3', '0xf', '0x90'], 59.5, '2025-06-13 09:25:33.574822']
['UID: ', ['0x4', '0xb6', '0xf6', '0xba', '0xa3', '0xf', '0x90'], 60.0, '2025-06-13 09:25:35.637754']
['UID: ', ['0x4', '0xb6', '0xf6', '0xba', '0xa3', '0xf', '0x90'], 60.0, '2025-06-13 09:25:37.683494']
['UID: ', ['0x4', '0xb6', '0xf6', '0xba', '0xa3', '0xf', '0x90'], 60.5, '2025-06-13 09:25:40.757736']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 60.0, '2025-06-13 10:30:15.960798']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 60.5, '2025-06-13 10:43:13.080510']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 60.5, '2025-06-13 10:58:53.807610']
['UID: ', ['0x4', '0x58', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 60.5, '2025-06-13 10:59:49.797102']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 60.5, '2025-06-13 11:00:33.261963']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 60.5, '2025-06-13 11:06:53.717941']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 56.2, '2025-06-13 11:56:07.327554']
